Component;Path;Div Count;Ghosts Detected;Action Priority
TactileButton;components/design/TactileButton.jsx;0;Net;Baixa
Section;components/design-system/primitives/Section.jsx;0;Net;Baixa
ColorPalette;components/design-system/sections/ColorPalette.jsx;0;Net;Baixa
Typography;components/design-system/sections/Typography.jsx;0;bootstrapLegacy (2x) | dangerousScroll (1x);Alta
IAIAIcon;components/icons/IAIAIcon.jsx;0;Net;Baixa
ProfileCard;components/patterns/ProfileCard.jsx;0;Net;Baixa
BootAntenna;components/sprites/BootAntenna.jsx;0;Net;Baixa
ChickenRouter;components/sprites/ChickenRouter.jsx;0;Net;Baixa
DataWorm;components/sprites/DataWorm.jsx;0;Net;Baixa
EmberDust;components/sprites/EmberDust.jsx;0;Net;Baixa
PigeonDrone;components/sprites/PigeonDrone.jsx;0;Net;Baixa
PixelPet;components/sprites/PixelPet.jsx;0;Net;Baixa
RatSolder;components/sprites/RatSolder.jsx;0;Net;Baixa
SausageFuse;components/sprites/SausageFuse.jsx;0;Net;Baixa
SnailCable;components/sprites/SnailCable.jsx;0;Net;Baixa
SundialCron;components/sprites/SundialCron.jsx;0;Net;Baixa
BrandLogo;components/ui/BrandLogo.jsx;0;Net;Baixa
Button;components/ui/Button/Button.jsx;0;Net;Baixa
Button.test;components/ui/Button/Button.test.jsx;0;Net;Baixa
UniversalButton;components/ui/Button/UniversalButton.jsx;0;Net;Baixa
UniversalCard;components/ui/Card/UniversalCard.jsx;0;Net;Baixa
FloatingScrollButton;components/ui/FloatingScrollButton.jsx;0;Net;Baixa
MurCentralitzat;components/ui/MurCentralitzat.jsx;0;bootstrapLegacy (2x) | dangerousScroll (1x);Alta
PedraPanel;components/ui/PedraPanel.jsx;0;dangerousScroll (1x);Alta
Portal;components/ui/Portal.jsx;0;Net;Baixa
UniversalCard.Body;components/ui/UniversalCard.Body.jsx;0;Net;Baixa
UniversalCard.Header;components/ui/UniversalCard.Header.jsx;0;Net;Baixa
UniversalCard.Media;components/ui/UniversalCard.Media.jsx;0;Net;Baixa
AdvancedDataGrid.test;components/ui/__tests__/AdvancedDataGrid.test.jsx;0;Net;Baixa
BancalInput;components/ui/trellat/BancalInput.jsx;0;Net;Baixa
ButtonTrellat;components/ui/trellat/ButtonTrellat.jsx;0;Net;Baixa
UniversalCard.ActionButton;components/ui/universal-card/UniversalCard.ActionButton.jsx;0;Net;Baixa
UniversalReactionVote;components/ui/universal-card/UniversalReactionVote.jsx;0;bootstrapLegacy (1x) | hardcodedColors (2x);Alta
